index	Female_Controls	Male_Controls	Female_Cases	Male_Cases	index	Female_Prevalence	Male_Prevalence	PheCode	Phenotype	Total_Prevalence	Total_Cases	Total_Controls
0	269487.0	225748.0	358.0	308.0	Status	0.0013266875428486725	0.0013624942492125845	8.0	Intestinal infection	0.0013430099959467717	666	495235
0	269487.0	225748.0	1627.0	1333.0	Status	0.0060011655613505755	0.005870152060278051	8.5	Bacterial enteritis	0.005941448629552685	2960	495235
0	261374.0	216898.0	594.0	799.0	Status	0.002267452513284065	0.003670238910044695	38.1	Gram negative septicemia	0.0029041101602159843	1393	478272
0	269487.0	225748.0	30.0	15.0	Status	0.00011131023274969668	6.64413566439142e-05	8.51	Intestinal e.coli	9.085769665643676e-05	45	495235
0	269487.0	225748.0	519.0	491.0	Status	0.001922179507122064	0.002170271261807204	8.52	Intestinal infection due to C. difficile	0.0020352849902769803	1010	495235
0	269487.0	225748.0	32.0	47.0	Status	0.00011873003387516279	0.00020815341349454151	8.7	Intestinal infection due to protozoa	0.00015949478512620278	79	495235
0	269487.0	225748.0	736.0	574.0	Status	0.0027236763709972875	0.002536209471461016	8.6	Viral Enteritis	0.002638230170478003	1310	495235
0	261374.0	216898.0	135.0	203.0	Status	0.0005162346229001678	0.0009350486639858867	10.0	Tuberculosis	0.0007062117381584171	338	478272
0	261374.0	216898.0	4606.0	4855.0	Status	0.017317091510639898	0.021893728607955697	41.0	Bacterial infection NOS	0.019397908281785323	9461	478272
0	265645.0	219393.0	914.0	1102.0	Status	0.003428884412081378	0.004997845756139595	686.0	Other local infections of skin and subcutaneous tissue	0.00413917142657693	2016	485038
0	265139.0	218904.0	588.0	916.0	Status	0.0022127973446431862	0.004167045764716586	480.1	Bacterial pneumonia	0.003097537416563175	1504	484043
0	265205.0	222314.0	200.0	174.0	Status	0.0007535653058533185	0.0007820646506777894	369.0	Infection of the eye	0.0007665615206612925	374	487519
0	261374.0	216898.0	289.0	460.0	Status	0.001104474075432904	0.0021163242208706375	38.2	Gram positive septicemia	0.0015636057709369736	749	478272
0	248363.0	210417.0	8.0	5.0	Status	3.220987957531274e-05	2.3761773958996682e-05	711.0	Arthropathy associated with infections	2.8335218715194e-05	13	458780
0	268330.0	224957.0	230.0	208.0	Status	0.0008564194221030682	0.0009237670152998912	529.1	Glossitis	0.0008871335257481392	438	493287
0	270266.0	225773.0	2417.0	2661.0	Status	0.008863772219023555	0.01164887888843167	994.2	Sepsis	0.010133362069137546	5078	496039
0	272252.0	227941.0	15.0	50.0	Status	5.509297858352279e-05	0.0002193069024654482	130.0	Spirochetal infection	0.00012993295459542875	65	500193
0	268154.0	224818.0	2316.0	1432.0	Status	0.00856287203756424	0.006329281767955801	79.0	Viral infection	0.007545498469962957	3748	492972
0	261374.0	216898.0	17.0	14.0	Status	6.503666920437199e-05	6.454230286936638e-05	31.0	Diseases due to other mycobacteria	6.481247242856516e-05	31	478272
0	272681.0	228431.0	2.0	3.0	Status	7.334523971057968e-06	1.3132896153812479e-05	657.0	Infections specific to the perinatal period	9.977709796315032e-06	5	501112
0	262498.0	228429.0	58.0		Status	0.00022090525449808802	0.0	639.0	Complications following abortion or ectopic and molar pregnancies	0.00011812988176828212	58	490927
0	270608.0	226967.0	1120.0	774.0	Status	0.004121768827651181	0.003398597529649909	465.0	Acute upper respiratory infections of multiple or unspecified sites	0.0037920271328150497	1894	497575
0	261374.0	216898.0	1087.0	1333.0	Status	0.0041415676995820334	0.006108206441797911	41.2	Streptococcus infection	0.005034408727417973	2420	478272
0	271892.0	227740.0	310.0	234.0	Status	0.0011388601112409167	0.0010264328388324983	320.0	Meningitis	0.0010876171587601165	544	499632
0	270810.0	225385.0	6.0	9.0	Status	2.2155264090747962e-05	3.993007799675235e-05	420.0	Carditis	3.0229136857378933e-05	15	496195
0	261374.0	216898.0	2519.0	2801.0	Status	0.009545535501131141	0.012749261489583476	38.0	Septicemia	0.011001009115121838	5320	478272
0	272252.0	227941.0	99.0	106.0	Status	0.0003635015109178964	0.0004648164632729218	133.0	Arthropod-borne diseases	0.00040967389957593755	205	500193
0	261374.0	216898.0	1947.0	2648.0	Status	0.0073940171881467865	0.012061253678044693	41.1	Staphylococcus infections	0.009516077926219849	4595	478272
