index	0_Controls	1_Controls	2_Controls	3_Controls	4_Controls	0_Cases	1_Cases	2_Cases	3_Cases	4_Cases	index	0.0_Prevalence	1.0_Prevalence	2.0_Prevalence	3.0_Prevalence	4.0_Prevalence	PheCode	Phenotype	Total_Prevalence	Total_Cases	Total_Controls
0	99421.0	99171.0	99128.0	98949.0	98566.0	107.0	128.0	114.0	131.0	186.0	Status	0.00107507435093642	0.0012890361433649886	0.0011487072005803994	0.0013221639079531691	0.0018835061568373299	8.0	Intestinal infection	0.0013430099959467717	666	495235
0	99421.0	99171.0	99128.0	98949.0	98566.0	421.0	504.0	579.0	612.0	844.0	Status	0.004216662326475832	0.005056433408577878	0.005807014552639233	0.006146985265314732	0.00849009154008651	8.5	Bacterial enteritis	0.005941448629552685	2960	495235
0	96618.0	96098.0	95901.0	95606.0	94049.0	235.0	250.0	253.0	310.0	345.0	Status	0.0024263574695672823	0.0025947606592767883	0.002631195790086736	0.003231994661995913	0.0036548933194906455	38.1	Gram negative septicemia	0.0029041101602159843	1393	478272
0	99421.0	99171.0	99128.0	98949.0	98566.0	8.0	8.0	10.0	6.0	13.0	Status	8.045942330708345e-05	8.066223696548664e-05	0.00010086949504730779	6.0633621343034716e-05	0.00013187392852433074	8.51	Intestinal e.coli	9.085769665643676e-05	45	495235
0	99421.0	99171.0	99128.0	98949.0	98566.0	167.0	171.0	168.0	221.0	283.0	Status	0.00167690886452183	0.0017213263272331943	0.001691911053818885	0.0022284965211253403	0.002862952584244656	8.52	Intestinal infection due to C. difficile	0.0020352849902769803	1010	495235
0	99421.0	99171.0	99128.0	98949.0	98566.0	10.0	16.0	15.0	18.0	20.0	Status	0.00010057225613742193	0.00016131146218758508	0.00015129661196453608	0.00018187880808754434	0.0002028685614590307	8.7	Intestinal infection due to protozoa	0.00015949478512620278	79	495235
0	99421.0	99171.0	99128.0	98949.0	98566.0	207.0	218.0	216.0	303.0	366.0	Status	0.002077729152447103	0.002193401684291018	0.0021742631663713963	0.003052835207350985	0.0036995107750778314	8.6	Viral Enteritis	0.002638230170478003	1310	495235
0	96618.0	96098.0	95901.0	95606.0	94049.0	34.0	45.0	53.0	63.0	143.0	Status	0.0003517775110706452	0.0004680527963554289	0.0005523480000833733	0.0006585205238896613	0.0015181756412434176	10.0	Tuberculosis	0.0007062117381584171	338	478272
0	96618.0	96098.0	95901.0	95606.0	94049.0	1412.0	1625.0	1778.0	1930.0	2716.0	Status	0.01440375395287157	0.01662863399609099	0.018202479550363946	0.0197875656167979	0.0280679997933137	41.0	Bacterial infection NOS	0.019397908281785323	9461	478272
0	97727.0	97355.0	97215.0	96852.0	95889.0	332.0	360.0	379.0	399.0	546.0	Status	0.0033857167623573565	0.0036841835951491584	0.0038834354570977726	0.004102785575469661	0.005661844765904495	686.0	Other local infections of skin and subcutaneous tissue	0.00413917142657693	2016	485038
0	97662.0	97293.0	97055.0	96723.0	95310.0	218.0	248.0	257.0	296.0	485.0	Status	0.0022272170004086636	0.002542520581088978	0.0026409898059848733	0.0030509487832280275	0.005062894723106634	480.1	Bacterial pneumonia	0.003097537416563175	1504	484043
